sample,fraction,genus,species,genus_hex,species_hex
Ground_truth,0.1111111111,Corynebacterium,Corynebacterium tuberculostearicum,#007884,#44CADD
Ground_truth,0.2222222222,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
Ground_truth,0.1111111111,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
Ground_truth,0.1111111111,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
Ground_truth,0.2222222222,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
Ground_truth,0.1111111111,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
Ground_truth,0.1111111111,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
A_SR16s,0.7986307231493368,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
A_SR16s,0.04458707744972187,Corynebacterium,Corynebacterium spp,#007884,#22BFD6
A_SR16s,0.05956354300385109,Enterobacteriaceae genera,Enterobacteriaceae genera,#29722C,#29722C
A_SR16s,0.0065040650406504065,Klebsiella,Klebsiella spp,#D31A55,#EE5787
A_SR16s,0.04527171587505349,Moraxella,Moraxella spp,#5B33AE,#AA92D6
A_SR16s,0.04544287548138639,Staphylococcus,Staphylococcus spp,#F89E21,#FEF392
B_SR16s,0.8442164179104478,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
B_SR16s,0.04650852878464819,Corynebacterium,Corynebacterium spp,#007884,#22BFD6
B_SR16s,0.04717484008528784,Enterobacteriaceae genera,Enterobacteriaceae genera,#29722C,#29722C
B_SR16s,0.00026652452025586353,Escherichia-Shigella,Escherichia-Shigella spp,#5F1A8F,#5F1A8F
B_SR16s,0.0026652452025586353,Klebsiella,Klebsiella spp,#D31A55,#EE5787
B_SR16s,0.016791044776119403,Moraxella,Moraxella spp,#5B33AE,#AA92D6
B_SR16s,0.0025319829424307033,Pseudomonas,Pseudomonas spp,#5C9531,#80BC41
B_SR16s,0.0398454157782516,Staphylococcus,Staphylococcus spp,#F89E21,#FEF392
C_SR16s,0.0007050528789659225,Corynebacteriaceae genera,Corynebacteriaceae genera,#046CB5,#046CB5
C_SR16s,0.6772032902467685,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
C_SR16s,0.03960047003525265,Corynebacterium,Corynebacterium spp,#007884,#22BFD6
C_SR16s,0.13513513513513511,Enterobacteriaceae genera,Enterobacteriaceae genera,#29722C,#29722C
C_SR16s,0.006462984723854289,Gammaproteobacteria order,Gammaproteobacteria order,#252F87,#252F87
C_SR16s,0.003525264394829612,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
C_SR16s,0.014688601645123383,Klebsiella,Klebsiella spp,#D31A55,#EE5787
C_SR16s,0.0781433607520564,Moraxella,Moraxella spp,#5B33AE,#AA92D6
C_SR16s,0.0445358401880141,Staphylococcus,Staphylococcus spp,#F89E21,#FEF392
D_SR16s,0.7408019222105421,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
D_SR16s,0.03281273464484157,Corynebacterium,Corynebacterium spp,#007884,#22BFD6
D_SR16s,0.06555038294038144,Enterobacteriaceae genera,Enterobacteriaceae genera,#29722C,#29722C
D_SR16s,0.008484757471091757,Klebsiella,Klebsiella spp,#D31A55,#EE5787
D_SR16s,0.09933924012614508,Moraxella,Moraxella spp,#5B33AE,#AA92D6
D_SR16s,0.05301096260699805,Staphylococcus,Staphylococcus spp,#F89E21,#FEF392
E_SR16s,0.8113233956190077,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
E_SR16s,0.03051298201413675,Corynebacterium,Corynebacterium spp,#007884,#22BFD6
E_SR16s,0.050948281895164114,Enterobacteriaceae genera,Enterobacteriaceae genera,#29722C,#29722C
E_SR16s,0.004828889355448247,Klebsiella,Klebsiella spp,#D31A55,#EE5787
E_SR16s,0.0515081531247813,Moraxella,Moraxella spp,#5B33AE,#AA92D6
E_SR16s,0.050878297991461964,Staphylococcus,Staphylococcus spp,#F89E21,#FEF392
F_SR16s,0.7164882868048799,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
F_SR16s,0.03270713269964823,Corynebacterium,Corynebacterium spp,#007884,#22BFD6
F_SR16s,0.09258289050220792,Enterobacteriaceae genera,Enterobacteriaceae genera,#29722C,#29722C
F_SR16s,0.0001496893945063992,Escherichia-Shigella,Escherichia-Shigella spp,#5F1A8F,#5F1A8F
F_SR16s,0.010104034129181948,Klebsiella,Klebsiella spp,#D31A55,#EE5787
F_SR16s,0.08113165182246837,Moraxella,Moraxella spp,#5B33AE,#AA92D6
F_SR16s,0.06683631464710725,Staphylococcus,Staphylococcus spp,#F89E21,#FEF392
A_LR16sONT,0.548330194477588,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
A_LR16sONT,0.0001340302372459,Klebsiella,Klebsiella quasipneumoniae,#D31A55,#EA376F
A_LR16sONT,0.0001333827473141,Klebsiella,Klebsiella variicola,#D31A55,#F284A8
A_LR16sONT,0.227745961611134,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
A_LR16sONT,0.0024161826386539,Staphylococcus,Staphylococcus haemolyticus,#F89E21,#FFED4D
A_LR16sONT,0.15325319020771,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
A_LR16sONT,0.0004882910386925,Moraxella,Moraxella nonliquefaciens,#5B33AE,#896AC6
A_LR16sONT,0.0001569622917151,Moraxella,Moraxella cuniculi,#5B33AE,#724CBB
A_LR16sONT,0.0208578502908378,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
A_LR16sONT,0.0409477579797448,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
A_LR16sONT,0.0013782966272414,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
A_LR16sONT,0.000503358982301,Staphylococcus,Staphylococcus capitis,#F89E21,#FCB828
A_LR16sONT,0.0033505000461037,Laceyella,Laceyella sacchari,#D33B19,#D33B19
A_LR16sONT,0.0003040408237013,Corynebacterium,Corynebacterium tuberculostearicum,#007884,#44CADD
B_LR16sONT,0.592359050946949,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
B_LR16sONT,0.0001023916406681,Klebsiella,Klebsiella variicola,#D31A55,#F284A8
B_LR16sONT,0.193609894506245,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
B_LR16sONT,0.151538001038885,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
B_LR16sONT,0.0006969404843808,Moraxella,Moraxella nonliquefaciens,#5B33AE,#896AC6
B_LR16sONT,0.0021481420485006,Staphylococcus,Staphylococcus haemolyticus,#F89E21,#FFED4D
B_LR16sONT,0.0373256220205949,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
B_LR16sONT,8.93698487272375e-05,Staphylococcus,Staphylococcus caprae,#F89E21,#FDD32F
B_LR16sONT,0.0003236530239795,Staphylococcus,Staphylococcus capitis,#F89E21,#FCB828
B_LR16sONT,0.0173975569745651,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
B_LR16sONT,0.0001510272891199,Moraxella,Moraxella cuniculi,#5B33AE,#724CBB
B_LR16sONT,0.0031483790388147,Laceyella,Laceyella sacchari,#D33B19,#D33B19
B_LR16sONT,0.0008862632708192,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
B_LR16sONT,0.0002237078677763,Corynebacterium,Corynebacterium tuberculostearicum,#007884,#44CADD
C_LR16sONT,0.568170421381021,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
C_LR16sONT,0.0001271313947146,Klebsiella,Klebsiella variicola,#D31A55,#F284A8
C_LR16sONT,0.0371844278072561,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
C_LR16sONT,0.201461972865898,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
C_LR16sONT,0.153184678679095,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
C_LR16sONT,0.0016285444710395,Moraxella,Moraxella nonliquefaciens,#5B33AE,#896AC6
C_LR16sONT,0.0001203946260485,Moraxella,Moraxella cuniculi,#5B33AE,#724CBB
C_LR16sONT,0.0326063095691559,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
C_LR16sONT,0.0005942594235105,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
C_LR16sONT,0.0002847071587485,Staphylococcus,Staphylococcus capitis,#F89E21,#FCB828
C_LR16sONT,0.0028048573719828,Laceyella,Laceyella sacchari,#D33B19,#D33B19
C_LR16sONT,0.0016936348091409,Staphylococcus,Staphylococcus haemolyticus,#F89E21,#FFED4D
C_LR16sONT,0.0001386604424028,Corynebacterium,Corynebacterium tuberculostearicum,#007884,#44CADD
D_LR16sONT,0.300728593937934,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
D_LR16sONT,0.528610174334859,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
D_LR16sONT,0.0001413560094617,Klebsiella,Klebsiella variicola,#D31A55,#F284A8
D_LR16sONT,8.18767261120496e-05,Klebsiella,Klebsiella quasipneumoniae,#D31A55,#EA376F
D_LR16sONT,9.38099717001735e-05,Staphylococcus,Staphylococcus simiae,#F89E21,#FFEF6B
D_LR16sONT,0.0021531393056867,Moraxella,Moraxella nonliquefaciens,#5B33AE,#896AC6
D_LR16sONT,0.100649200185856,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
D_LR16sONT,0.0145883820116854,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
D_LR16sONT,0.0457862390365657,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
D_LR16sONT,0.0001026040584692,Staphylococcus,Staphylococcus caprae,#F89E21,#FDD32F
D_LR16sONT,0.0004224019984154,Staphylococcus,Staphylococcus capitis,#F89E21,#FCB828
D_LR16sONT,0.0021941001185601,Staphylococcus,Staphylococcus haemolyticus,#F89E21,#FFED4D
D_LR16sONT,0.0003039345729853,Corynebacterium,Corynebacterium tuberculostearicum,#007884,#44CADD
D_LR16sONT,0.0026311195958162,Laceyella,Laceyella sacchari,#D33B19,#D33B19
D_LR16sONT,0.0014354790444866,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
D_LR16sONT,7.75890914367541e-05,Enterobacter,Enterobacter hormaechei,#005D52,#005D52
E_LR16sONT,0.0712419874086962,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
E_LR16sONT,0.349075261268639,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
E_LR16sONT,0.49532379849666,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
E_LR16sONT,0.001686719822499,Moraxella,Moraxella nonliquefaciens,#5B33AE,#896AC6
E_LR16sONT,0.0001546440501195,Klebsiella,Klebsiella variicola,#D31A55,#F284A8
E_LR16sONT,0.0657885921815608,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
E_LR16sONT,0.0001374437270943,Staphylococcus,Staphylococcus caprae,#F89E21,#FDD32F
E_LR16sONT,0.0025767069090511,Laceyella,Laceyella sacchari,#D33B19,#D33B19
E_LR16sONT,0.0020166190006502,Staphylococcus,Staphylococcus haemolyticus,#F89E21,#FFED4D
E_LR16sONT,0.0004053315148891,Staphylococcus,Staphylococcus capitis,#F89E21,#FCB828
