tax_id,abundance,species,genus,family,order,class,phylum,clade,superkingdom,subspecies,species subgroup,species group
573,0.5519272180502580,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,,,
1280,0.32735208992533900,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,,,
244366,0.00010599530998601900,Klebsiella variicola,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,,,
1282,0.05514233037564940,Staphylococcus epidermidis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,,,
480,0.04656921157445510,Moraxella catarrhalis,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,,Bacteria,,,
29388,0.0006011750859631870,Staphylococcus capitis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,,,
29380,0.00016294454621403,Staphylococcus caprae,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,,,
478,0.00114911712218979,Moraxella nonliquefaciens,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,,Bacteria,,,
1283,0.0018972481492155700,Staphylococcus haemolyticus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,,,
287,0.011130273691199400,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,,Bacteria,,,Pseudomonas aeruginosa group
37637,0.0010268307826038800,Corynebacterium pseudodiphtheriticum,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Terrabacteria group,Bacteria,,,
37482,0.0024860448915953400,Laceyella sacchari,Laceyella,Thermoactinomycetaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,,,
158836,0.00020404005092306800,Enterobacter hormaechei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,,,Enterobacter cloacae complex
38304,0.0002454804444269820,Corynebacterium tuberculostearicum,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Terrabacteria group,Bacteria,,,
unassigned,0.0,,,,,,,,,,,
