sample,fraction,genus,species,genus_hex,species_hex
Ground_truth,0.1111111111,Corynebacterium,Corynebacterium tuberculostearicum,#165AB8,#3A9BF3
Ground_truth,0.2222222222,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
Ground_truth,0.1111111111,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
Ground_truth,0.1111111111,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
Ground_truth,0.2222222222,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
Ground_truth,0.1111111111,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
Ground_truth,0.1111111111,Moraxella,Moraxella catarrhalis,#252F87,#252F87
A_SR16s,0.7986307231493368,Corynebacterium,Corynebacterium propinquum,#165AB8,#186BCC
A_SR16s,0.04458707744972187,Corynebacterium,Corynebacterium spp,#165AB8,#1F8BF1
A_SR16s,0.05956354300385109,Enterobacteriaceae genera,Enterobacteriaceae genera,#007884,#007884
A_SR16s,0.0065040650406504065,Klebsiella,Klebsiella spp,#BF2524,#E2322F
A_SR16s,0.04527171587505349,Moraxella,Moraxella spp,#252F87,#3747AC
A_SR16s,0.04544287548138639,Staphylococcus,Staphylococcus spp,#5C9531,#D8EAC2
B_SR16s,0.8442164179104478,Corynebacterium,Corynebacterium propinquum,#165AB8,#186BCC
B_SR16s,0.04650852878464819,Corynebacterium,Corynebacterium spp,#165AB8,#1F8BF1
B_SR16s,0.04717484008528784,Enterobacteriaceae genera,Enterobacteriaceae genera,#007884,#007884
B_SR16s,0.00026652452025586353,Escherichia-Shigella,Escherichia-Shigella spp,#005D52,#005D52
B_SR16s,0.0026652452025586353,Klebsiella,Klebsiella spp,#BF2524,#E2322F
B_SR16s,0.016791044776119403,Moraxella,Moraxella spp,#252F87,#3747AC
B_SR16s,0.0025319829424307033,Pseudomonas,Pseudomonas spp,#D31A55,#E71C57
B_SR16s,0.0398454157782516,Staphylococcus,Staphylococcus spp,#5C9531,#D8EAC2
C_SR16s,0.0007050528789659225,Corynebacteriaceae genera,Corynebacteriaceae genera,#303E45,#303E45
C_SR16s,0.6772032902467685,Corynebacterium,Corynebacterium propinquum,#165AB8,#186BCC
C_SR16s,0.03960047003525265,Corynebacterium,Corynebacterium spp,#165AB8,#1F8BF1
C_SR16s,0.13513513513513511,Enterobacteriaceae genera,Enterobacteriaceae genera,#007884,#007884
C_SR16s,0.006462984723854289,Gammaproteobacteria order,Gammaproteobacteria order,#29722C,#29722C
C_SR16s,0.003525264394829612,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
C_SR16s,0.014688601645123383,Klebsiella,Klebsiella spp,#BF2524,#E2322F
C_SR16s,0.0781433607520564,Moraxella,Moraxella spp,#252F87,#3747AC
C_SR16s,0.0445358401880141,Staphylococcus,Staphylococcus spp,#5C9531,#D8EAC2
D_SR16s,0.7408019222105421,Corynebacterium,Corynebacterium propinquum,#165AB8,#186BCC
D_SR16s,0.03281273464484157,Corynebacterium,Corynebacterium spp,#165AB8,#1F8BF1
D_SR16s,0.06555038294038144,Enterobacteriaceae genera,Enterobacteriaceae genera,#007884,#007884
D_SR16s,0.008484757471091757,Klebsiella,Klebsiella spp,#BF2524,#E2322F
D_SR16s,0.09933924012614508,Moraxella,Moraxella spp,#252F87,#3747AC
D_SR16s,0.05301096260699805,Staphylococcus,Staphylococcus spp,#5C9531,#D8EAC2
E_SR16s,0.8113233956190077,Corynebacterium,Corynebacterium propinquum,#165AB8,#186BCC
E_SR16s,0.03051298201413675,Corynebacterium,Corynebacterium spp,#165AB8,#1F8BF1
E_SR16s,0.050948281895164114,Enterobacteriaceae genera,Enterobacteriaceae genera,#007884,#007884
E_SR16s,0.004828889355448247,Klebsiella,Klebsiella spp,#BF2524,#E2322F
E_SR16s,0.0515081531247813,Moraxella,Moraxella spp,#252F87,#3747AC
E_SR16s,0.050878297991461964,Staphylococcus,Staphylococcus spp,#5C9531,#D8EAC2
F_SR16s,0.7164882868048799,Corynebacterium,Corynebacterium propinquum,#165AB8,#186BCC
F_SR16s,0.03270713269964823,Corynebacterium,Corynebacterium spp,#165AB8,#1F8BF1
F_SR16s,0.09258289050220792,Enterobacteriaceae genera,Enterobacteriaceae genera,#007884,#007884
F_SR16s,0.0001496893945063992,Escherichia-Shigella,Escherichia-Shigella spp,#005D52,#005D52
F_SR16s,0.010104034129181948,Klebsiella,Klebsiella spp,#BF2524,#E2322F
F_SR16s,0.08113165182246837,Moraxella,Moraxella spp,#252F87,#3747AC
F_SR16s,0.06683631464710725,Staphylococcus,Staphylococcus spp,#5C9531,#D8EAC2
A_LR16sONT,0.548330194477588,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
A_LR16sONT,0.0001340302372459,Klebsiella,Klebsiella quasipneumoniae,#BF2524,#CD2929
A_LR16sONT,0.0001333827473141,Klebsiella,Klebsiella variicola,#BF2524,#F33B2F
A_LR16sONT,0.227745961611134,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
A_LR16sONT,0.0024161826386539,Staphylococcus,Staphylococcus haemolyticus,#5C9531,#A4CF76
A_LR16sONT,0.15325319020771,Moraxella,Moraxella catarrhalis,#252F87,#252F87
A_LR16sONT,0.0004882910386925,Moraxella,Moraxella nonliquefaciens,#252F87,#3240A1
A_LR16sONT,0.0001569622917151,Moraxella,Moraxella cuniculi,#252F87,#2B3794
A_LR16sONT,0.0208578502908378,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
A_LR16sONT,0.0409477579797448,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
A_LR16sONT,0.0013782966272414,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
A_LR16sONT,0.000503358982301,Staphylococcus,Staphylococcus capitis,#5C9531,#70AA3A
A_LR16sONT,0.0033505000461037,Laceyella,Laceyella sacchari,#5F1A8F,#5F1A8F
A_LR16sONT,0.0003040408237013,Corynebacterium,Corynebacterium tuberculostearicum,#165AB8,#3A9BF3
B_LR16sONT,0.592359050946949,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
B_LR16sONT,0.0001023916406681,Klebsiella,Klebsiella variicola,#BF2524,#F33B2F
B_LR16sONT,0.193609894506245,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
B_LR16sONT,0.151538001038885,Moraxella,Moraxella catarrhalis,#252F87,#252F87
B_LR16sONT,0.0006969404843808,Moraxella,Moraxella nonliquefaciens,#252F87,#3240A1
